time, EO_angle, SI_angle, SO_control, EI_control
1,1.5,1.16,0,-0.39985066652297974
2,1.1001493334770203,0.69,0,-0.3314131498336792
3,0.7687361836433411,0.71,0,0.4319072961807251
4,1.2006434798240662,1.0,0,-0.3459275960922241
5,0.854715883731842,0.63,0,-0.12704867124557495
6,0.7276672124862671,0.83,0,0.2687084674835205
7,0.9963756799697876,1.27,0,0.08642822504043579
8,1.0828039050102234,0.71,0,0.08113861083984375
9,1.1639425158500671,0.94,0,-0.37919002771377563
10,0.7847524881362915,0.32,0,-0.20610713958740234
11,0.5786453485488892,0.32,0,0.37125128507614136
12,0.9498966336250305,0.58,0,-0.49188679456710815
13,0.45800983905792236,0.8,0,0.0
14,0.45800983905792236,0.45,0,-0.4708394408226013
15,-0.012829601764678955,19.98717039823532,-1,-1.0508782863616943
16,-1.0637078881263733,18.936292111873627,-1,-0.5359592437744141
17,-1.5996671319007874,18.400332868099213,-1,-0.9703556299209595
18,-2.570022761821747,17.429977238178253,-1,-0.6680710315704346
19,-3.2380937933921814,16.76190620660782,-1,-1.419744074344635
20,-4.657837867736816,15.342162132263184,-1,-1.1266730427742004
21,-5.784510910511017,14.215489089488983,-1,-1.2859864234924316
22,-7.0704973340034485,12.929502665996552,-1,-0.7710587978363037
23,-7.841556131839752,12.158443868160248,-1,-1.1310967206954956
24,-8.972652852535248,11.027347147464752,-1,-1.4524931907653809
25,-10.425146043300629,9.574853956699371,0,0.27934062480926514
26,-10.145805418491364,9.854194581508636,0,0.01231527328491211
27,-10.133490145206451,9.866509854793549,0,0.18149584531784058
28,-9.95199429988861,10.04800570011139,-1,-1.3892423510551453
29,-11.341236650943756,8.658763349056244,0,-0.43729281425476074
30,-11.778529465198517,8.221470534801483,0,0.3596652150154114
31,-11.418864250183105,8.581135749816895,0,-0.2001204490661621
32,-11.618984699249268,8.381015300750732,0,0.15958601236343384
33,-11.459398686885834,8.540601313114166,0,-0.0015502572059631348
34,-11.460948944091797,8.539051055908203,0,0.2940959930419922
35,-11.166852951049805,8.833147048950195,0,-0.24870193004608154
36,-11.415554881095886,8.584445118904114,0,-0.16918814182281494
37,-11.584743022918701,8.415256977081299,0,0.0
38,-11.584743022918701,8.415256977081299,0,-0.46728622913360596
39,-12.052029252052307,7.947970747947693,0,-0.06097191572189331
40,-12.1130011677742,7.8869988322258,0,0.39614027738571167
